customerID,firstName,lastName,birthdate,gender,email,phoneNumber,city,country
1,Wendeline,Blackah,1/28/1946,Female,wblackah0@ted.com,(809) 2476583,Telouet,Morocco
2,Lena,Bonnar,4/30/1961,Female,lbonnar1@mac.com,(904) 4879171,Xinfeng,China
3,Bogart,Dobney,9/24/1954,Male,bdobney2@deviantart.com,(982) 6432935,Putat Lor,Indonesia
4,Lona,Thandi,7/22/1938,Female,lthandi3@mozilla.org,(686) 3245031,Tenancingo,El Salvador
5,Felice,Stallybrass,4/26/2004,Male,fstallybrass4@blogger.com,(751) 9631775,Henglian,China
6,Netty,Greasley,1/20/2004,Female,ngreasley5@nsw.gov.au,(398) 9936254,Mozhaysk,Russia
7,Amitie,Pirnie,7/30/1941,Female,apirnie6@networkadvertising.org,(759) 6839723,Watuweri,Indonesia
8,Fenelia,Himsworth,1927-06-08,Female,fhimsworth7@abc.net.au,(967) 3824020,Tabatinga,Brazil
9,Dorice,Messitt,2006-09-03,Female,dmessitt8@merriam-webster.com,(848) 4148617,Temirtau,Kazakhstan
10,Gaylene,Banford,10/25/1985,Female,gbanford9@so-net.ne.jp,(168) 2678707,Plavsk,Russia
11,Araldo,Lauritzen,9/14/1983,Male,alauritzena@hostgator.com,(455) 9480406,Quetzaltenango,Guatemala
12,Gilbert,Philliphs,5/29/1923,Male,gphilliphsb@mapy.cz,(862) 8611712,Coromandel,Brazil
13,Shaun,Mirrlees,4/20/1941,Male,smirrleesc@tripod.com,(813) 8388647,Sabugo,Portugal
14,Mikael,Dopson,5/13/1968,Male,mdopsond@scribd.com,(164) 3220506,Tambalisa,Philippines
15,Katrinka,Arderne,5/13/1951,Female,kardernee@blog.com,(140) 2373058,Donglu,China
16,Brodie,Luter,11/20/2004,Male,bluterf@virginia.edu,(213) 9627698,Zhishan,China
17,Mil,Gunter,11/25/1970,Female,mgunterg@loc.gov,(149) 6438156,Bogot? ,Colombia
18,Faina,MacClay,9/14/2004,Female,fmacclayh@ted.com,(102) 9266017,Boyeros,Cuba
19,Leila,Corrington,1967-01-09,Female,lcorringtoni@shareasale.com,(629) 4464407,Lindi,Tanzania
20,Dorothea,Betterton,9/29/1966,Female,dbettertonj@tripod.com,(595) 6584542,Huilong,China
21,Noel,Santorini,7/27/1981,Male,nsantorinik@japanpost.jp,(121) 5716031,Lobos,Argentina
22,Jereme,Sains,1/13/1986,Male,jsainsl@cnet.com,(944) 2039670,Miaoxi,China
23,Rosabella,Macklin,2001-02-11,Female,rmacklinm@mit.edu,(674) 4531382,Caseros,Argentina
24,Alexia,Gummary,1923-06-10,Female,agummaryn@hatena.ne.jp,(780) 4739944,Xinsheng,China
25,Lowe,Webby,2/14/1964,Male,lwebbyo@spiegel.de,(267) 4300386,Lampa,Peru
26,Rowan,Hadwin,12/28/1926,Male,rhadwinp@ox.ac.uk,(534) 2512833,Qingshandi,China
27,Quill,Bowker,4/15/1938,Male,qbowkerq@scribd.com,(791) 6681980,Jembatandua,Indonesia
28,Malinde,Huws,7/22/1982,Female,mhuwsr@mit.edu,(864) 1040331,Qidu,China
29,Orton,Wheatley,1966-09-07,Male,owheatleys@free.fr,(816) 1336661,Wangsi,China
