orderNumber,orderDate,arrivalDate,email,orderStatus,shipType,shipPrice,total order price,isLate,warehouseID
1,26/11/2021,1/12/2021,cbartholinu@samsung.com,Complete,Regular,$5 ,$278 ,0,7
2,20/12/2020,27/12/2020,mdyball19@ustream.tv,Complete,Regular,$5 ,"$3,070 ",0,1
3,27/12/2020,30/12/2020,imacduffie3h@goodreads.com,Complete,Regular,$5 ,$767 ,0,1
4,29/08/2021,7/9/2021,abragger6e@usatoday.com,Complete,Regular,$5 ,$360 ,0,3
5,22/06/2020,29/06/2020,bluterf@virginia.edu,Complete,Regular,$5 ,"$1,181 ",0,1
6,9/3/2022,10/3/2022,jreichert5a@state.gov,Complete,Fast,$10 ,$122 ,0,2
7,4/5/2022,17/05/2022,dbruggen5n@gizmodo.com,Cancelled,Regular,$5 ,$59 ,1,2
8,13/04/2021,21/04/2021,lthandi3@mozilla.org,Complete,Regular,$5 ,$701 ,0,6
9,24/07/2022,6/8/2022,mgunterg@loc.gov,Cancelled,Regular,$5 ,$691 ,1,6
10,15/07/2021,20/07/2021,apoulden28@cocolog-nifty.com,Complete,Regular,$5 ,"$2,955 ",0,1
11,21/03/2021,2/4/2021,dbruggen5n@gizmodo.com,Refund,Regular,$5 ,"$1,581 ",1,2
12,9/3/2022,11/3/2022,emiall1x@fema.gov,Complete,Fast,$10 ,$356 ,0,6
13,17/04/2023,28/04/2023,hmcvee5c@usgs.gov,Refund,Regular,$5 ,"$1,115 ",1,2
14,28/03/2022,1/4/2022,awenderott48@hc360.com,Complete,Regular,$5 ,$870 ,0,6
15,15/12/2022,28/12/2022,kstyle33@nbcnews.com,Refund,Regular,$5 ,$83 ,1,7
16,16/08/2020,28/08/2020,nsantorinik@japanpost.jp,Cancelled,Regular,$5 ,$98 ,1,1
17,24/05/2022,2/6/2022,jpettus5p@independent.co.uk,Complete,Regular,$5 ,"$1,264 ",0,2
18,29/08/2020,6/9/2020,ospringer3y@barnesandnoble.com,Complete,Regular,$5 ,$751 ,0,3
19,16/10/2021,19/10/2021,aharmson4j@reverbnation.com,Complete,Regular,$5 ,"$1,318 ",0,4
20,28/08/2021,9/9/2021,cluxon5j@posterous.com,Refund,Regular,$5 ,"$3,188 ",1,7
21,6/3/2022,13/03/2022,ccordero1t@miibeian.gov.cn,Complete,Regular,$5 ,"$2,579 ",0,7
22,6/12/2022,10/12/2022,mdyball19@ustream.tv,Complete,Regular,$5 ,$275 ,0,2
23,18/03/2022,24/03/2022,bborne3b@photobucket.com,Complete,Regular,$5 ,$27 ,0,1
24,6/3/2023,9/3/2023,kstyle33@nbcnews.com,Complete,Fast,$10 ,$973 ,0,2
25,12/1/2021,20/01/2021,ahudless20@wisc.edu,Complete,Regular,$5 ,"$2,485 ",0,3
26,5/5/2022,18/05/2022,evasyuchov3c@gnu.org,Refund,Regular,$5 ,"$1,542 ",1,1
27,26/03/2022,6/4/2022,rbolland16@state.tx.us,Refund,Regular,$5 ,$191 ,1,1
28,30/08/2022,11/9/2022,cdowney3d@berkeley.edu,Refund,Regular,$5 ,"$1,405 ",1,1
29,12/10/2020,23/10/2020,hmcvee5c@usgs.gov,Refund,Regular,$5 ,$419 ,1,6
30,6/12/2022,9/12/2022,tstracey39@blogspot.com,Complete,Regular,$5 ,$478 ,0,6
31,23/03/2023,31/03/2023,lskarman4y@cbslocal.com,Complete,Regular,$5 ,"$4,160 ",0,7
32,28/03/2021,29/03/2021,kloftie3l@archive.org,Complete,Regular,$5 ,$393 ,0,2
33,29/07/2020,11/8/2020,ahallbord6o@uiuc.edu,Cancelled,Regular,$5 ,$786 ,1,7
34,9/4/2022,11/4/2022,bkenworthey6d@creativecommons.org,Complete,Regular,$5 ,"$2,424 ",0,6
35,23/08/2020,26/08/2020,jmcilenna5d@deliciousdays.com,Complete,Fast,$10 ,"$2,877 ",0,7
36,10/10/2022,14/10/2022,atapton5v@dot.gov,Complete,Regular,$5 ,"$3,510 ",0,5
